BlockSize_m,VoxelSize_m,LayerType,Clear,IndexX,IndexY,IndexZ,CenterX,CenterY,CenterZ,ColorR,ColorG,ColorB,ColorA
0.4,0.05,2,0,10,-1,-2,4.025,-0.225,-0.775,0.552941,0.466667,0.388235,1
0.4,0.05,2,0,10,-1,-2,4.025,-0.175,-0.775,0.580392,0.513726,0.454902,1
0.4,0.05,2,0,10,-1,-2,4.075,-0.225,-0.775,0.588235,0.498039,0.423529,1
0.4,0.05,2,0,10,-1,-2,4.075,-0.225,-0.575,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,10,-1,-2,4.075,-0.175,-0.775,0.588235,0.52549,0.462745,1
0.4,0.05,2,0,10,-1,-2,4.075,-0.175,-0.575,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,10,-1,-2,4.125,-0.225,-0.775,0.592157,0.501961,0.427451,1
0.4,0.05,2,0,10,-1,-2,4.125,-0.225,-0.725,0.588235,0.505882,0.427451,1
0.4,0.05,2,0,10,-1,-2,4.125,-0.225,-0.575,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,10,-1,-2,4.125,-0.175,-0.775,0.588235,0.521569,0.466667,1
0.4,0.05,2,0,10,-1,-2,4.125,-0.175,-0.575,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,10,-1,-2,4.125,-0.125,-0.775,0.615686,0.556863,0.494118,1
0.4,0.05,2,0,10,-1,-2,4.125,-0.025,-0.775,0.607843,0.517647,0.423529,1
0.4,0.05,2,0,11,-1,-2,4.525,-0.125,-0.775,0.6,0.505882,0.415686,1
0.4,0.05,2,0,11,-1,-2,4.525,-0.075,-0.775,0.447059,0.396078,0.352941,1
0.4,0.05,2,0,11,-1,-2,4.575,-0.125,-0.775,0.556863,0.482353,0.415686,1
0.4,0.05,2,0,11,-1,-2,4.575,-0.075,-0.775,0.447059,0.4,0.352941,1
0.4,0.05,2,0,11,-1,-2,4.625,-0.125,-0.775,0.6,0.509804,0.411765,1
0.4,0.05,2,0,11,-1,-2,4.625,-0.075,-0.775,0.603922,0.509804,0.423529,1
0.4,0.05,2,0,11,-1,-2,4.675,-0.225,-0.575,0.592157,0.501961,0.4,1
0.4,0.05,2,0,11,-1,-2,4.675,-0.225,-0.525,0.65098,0.568627,0.466667,1
0.4,0.05,2,0,3,0,-2,1.275,0.025,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.275,0.075,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.275,0.225,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.275,0.275,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.275,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.325,0.025,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.325,0.075,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.325,0.125,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.325,0.175,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.325,0.225,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.325,0.275,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.325,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.325,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.375,0.025,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.375,0.075,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.375,0.125,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.375,0.175,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.375,0.225,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.375,0.275,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.375,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.375,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.025,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.025,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.075,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.075,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.125,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.125,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.175,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.175,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.225,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.225,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.275,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.275,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.325,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.375,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.025,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.025,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.075,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.075,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.125,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.125,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.175,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.175,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.225,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.225,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.275,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.275,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.325,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.375,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.175,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.225,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.225,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.275,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.275,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.325,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.375,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.575,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.475,-0.875,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.475,-0.875,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.475,-0.825,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.475,-0.825,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.925,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.925,0.075,0.498039,0.498039,0.498039,1
