BlockSize_m,VoxelSize_m,LayerType,Clear,IndexX,IndexY,IndexZ,CenterX,CenterY,CenterZ,ColorR,ColorG,ColorB,ColorA
0.4,0.05,2,0,4,1,0,1.725,0.425,0.025,0.490196,0.482353,0.494118,1
0.4,0.05,2,0,4,1,0,1.725,0.425,0.225,0.45098,0.45098,0.45098,1
0.4,0.05,2,0,4,1,0,1.725,0.425,0.275,0.454902,0.454902,0.454902,1
0.4,0.05,2,0,4,1,0,1.725,0.425,0.325,0.427451,0.439216,0.435294,1
0.4,0.05,2,0,4,1,0,1.725,0.425,0.375,0.439216,0.45098,0.454902,1
0.4,0.05,2,0,4,1,0,1.725,0.475,0.025,0.462745,0.462745,0.470588,1
0.4,0.05,2,0,4,1,0,1.725,0.475,0.175,0.45098,0.45098,0.45098,1
0.4,0.05,2,0,4,1,0,1.725,0.475,0.225,0.439216,0.439216,0.439216,1
0.4,0.05,2,0,4,1,0,1.725,0.475,0.275,0.427451,0.439216,0.439216,1
0.4,0.05,2,0,4,1,0,1.725,0.475,0.325,0.415686,0.431373,0.435294,1
0.4,0.05,2,0,4,1,0,1.725,0.475,0.375,0.431373,0.45098,0.45098,1
0.4,0.05,2,0,4,1,0,1.725,0.525,0.175,0.447059,0.458824,0.458824,1
0.4,0.05,2,0,4,1,0,1.725,0.525,0.225,0.423529,0.435294,0.439216,1
0.4,0.05,2,0,4,1,0,1.725,0.525,0.275,0.403922,0.427451,0.427451,1
0.4,0.05,2,0,4,1,0,1.725,0.525,0.325,0.4,0.423529,0.427451,1
0.4,0.05,2,0,4,1,0,1.725,0.525,0.375,0.411765,0.439216,0.439216,1
0.4,0.05,2,0,4,1,0,1.725,0.575,0.025,0.415686,0.423529,0.419608,1
0.4,0.05,2,0,4,1,0,1.725,0.575,0.075,0.411765,0.423529,0.431373,1
0.4,0.05,2,0,4,1,0,1.725,0.575,0.125,0.423529,0.439216,0.443137,1
0.4,0.05,2,0,4,1,0,1.725,0.575,0.175,0.443137,0.458824,0.462745,1
0.4,0.05,2,0,4,1,0,1.725,0.575,0.225,0.415686,0.435294,0.439216,1
0.4,0.05,2,0,4,1,0,1.725,0.575,0.275,0.392157,0.419608,0.419608,1
0.4,0.05,2,0,4,1,0,1.725,0.575,0.325,0.4,0.435294,0.431373,1
0.4,0.05,2,0,4,1,0,1.725,0.575,0.375,0.403922,0.439216,0.435294,1
0.4,0.05,2,0,4,1,0,1.725,0.625,0.175,0.407843,0.435294,0.435294,1
0.4,0.05,2,0,4,1,0,1.725,0.625,0.225,0.380392,0.415686,0.411765,1
0.4,0.05,2,0,4,1,0,1.725,0.625,0.275,0.372549,0.407843,0.407843,1
0.4,0.05,2,0,4,1,0,1.725,0.625,0.325,0.388235,0.427451,0.423529,1
0.4,0.05,2,0,4,1,0,1.725,0.625,0.375,0.392157,0.435294,0.431373,1
0.4,0.05,2,0,4,1,0,1.725,0.675,0.175,0.360784,0.396078,0.396078,1
0.4,0.05,2,0,4,1,0,1.725,0.675,0.225,0.368627,0.403922,0.4,1
0.4,0.05,2,0,4,1,0,1.725,0.675,0.275,0.368627,0.411765,0.407843,1
0.4,0.05,2,0,4,1,0,1.725,0.675,0.325,0.376471,0.423529,0.419608,1
0.4,0.05,2,0,4,1,0,1.725,0.725,0.075,0.356863,0.396078,0.380392,1
0.4,0.05,2,0,4,1,0,1.725,0.725,0.175,0.341176,0.376471,0.368627,1
0.4,0.05,2,0,4,1,0,1.725,0.725,0.225,0.352941,0.4,0.392157,1
0.4,0.05,2,0,4,1,0,1.725,0.725,0.275,0.368627,0.411765,0.403922,1
0.4,0.05,2,0,4,1,0,1.725,0.725,0.325,0.376471,0.427451,0.419608,1
0.4,0.05,2,0,4,1,0,1.725,0.775,0.025,0.341176,0.384314,0.372549,1
0.4,0.05,2,0,4,1,0,1.725,0.775,0.175,0.317647,0.364706,0.352941,1
0.4,0.05,2,0,4,1,0,1.725,0.775,0.225,0.333333,0.376471,0.372549,1
0.4,0.05,2,0,4,1,0,1.725,0.775,0.275,0.352941,0.4,0.392157,1
0.4,0.05,2,0,4,1,0,1.725,0.775,0.325,0.360784,0.415686,0.407843,1
0.4,0.05,2,0,4,1,0,1.775,0.425,0.025,0.490196,0.47451,0.482353,1
0.4,0.05,2,0,4,1,0,1.775,0.425,0.075,0.47451,0.462745,0.466667,1
0.4,0.05,2,0,4,1,0,1.775,0.425,0.125,0.462745,0.454902,0.458824,1
0.4,0.05,2,0,4,1,0,1.775,0.425,0.175,0.458824,0.45098,0.454902,1
0.4,0.05,2,0,4,1,0,1.775,0.425,0.225,0.462745,0.45098,0.454902,1
0.4,0.05,2,0,4,1,0,1.775,0.425,0.275,0.454902,0.454902,0.454902,1
0.4,0.05,2,0,4,1,0,1.775,0.425,0.325,0.439216,0.439216,0.439216,1
0.4,0.05,2,0,4,1,0,1.775,0.425,0.375,0.439216,0.447059,0.443137,1
0.4,0.05,2,0,4,1,0,1.775,0.475,0.025,0.47451,0.466667,0.478431,1
0.4,0.05,2,0,4,1,0,1.775,0.475,0.075,0.466667,0.466667,0.47451,1
0.4,0.05,2,0,4,1,0,1.775,0.475,0.125,0.447059,0.443137,0.45098,1
0.4,0.05,2,0,4,1,0,1.775,0.475,0.175,0.443137,0.443137,0.447059,1
0.4,0.05,2,0,4,1,0,1.775,0.475,0.225,0.447059,0.447059,0.447059,1
0.4,0.05,2,0,4,1,0,1.775,0.475,0.275,0.439216,0.447059,0.447059,1
0.4,0.05,2,0,4,1,0,1.775,0.475,0.325,0.431373,0.443137,0.443137,1
0.4,0.05,2,0,4,1,0,1.775,0.475,0.375,0.427451,0.447059,0.443137,1
0.4,0.05,2,0,4,1,0,1.775,0.525,0.025,0.447059,0.443137,0.454902,1
